action_id,img_0,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8
139,5,4,3,8,7,6,2,1,0
140,5,4,3,8,7,6,2,1,0
141,5,4,3,8,7,6,2,1,0
142,5,4,3,8,7,6,2,1,0
143,5,4,3,8,7,6,2,1,0
144,6,7,8,0,1,2,3,4,5
145,6,7,8,0,1,2,3,4,5
146,6,7,8,0,1,2,3,4,5
147,6,7,8,0,1,2,3,4,5
148,6,7,8,0,1,2,3,4,5
149,6,7,8,0,1,2,3,4,5
150,6,8,7,0,2,1,3,5,4
151,6,8,7,0,2,1,3,5,4
152,6,8,7,0,2,1,3,5,4
153,6,8,7,0,2,1,3,5,4
154,6,8,7,0,2,1,3,5,4
155,6,8,7,0,2,1,3,5,4
156,7,6,8,1,0,2,4,3,5
157,7,6,8,1,0,2,4,3,5
158,7,6,8,1,0,2,4,3,5
159,7,6,8,1,0,2,4,3,5
160,7,6,8,1,0,2,4,3,5
161,7,6,8,1,0,2,4,3,5
162,7,8,6,1,2,0,4,5,3
163,7,8,6,1,2,0,4,5,3
164,7,8,6,1,2,0,4,5,3
165,7,8,6,1,2,0,4,5,3
166,7,8,6,1,2,0,4,5,3
167,7,8,6,1,2,0,4,5,3
168,8,6,7,2,0,1,5,3,4
169,8,6,7,2,0,1,5,3,4
170,8,6,7,2,0,1,5,3,4
171,8,6,7,2,0,1,5,3,4
172,8,6,7,2,0,1,5,3,4
173,8,6,7,2,0,1,5,3,4
174,8,7,6,2,1,0,5,4,3
175,8,7,6,2,1,0,5,4,3
176,8,7,6,2,1,0,5,4,3
177,8,7,6,2,1,0,5,4,3
178,8,7,6,2,1,0,5,4,3
179,8,7,6,2,1,0,5,4,3
180,6,7,8,3,4,5,0,1,2
181,6,7,8,3,4,5,0,1,2
182,6,7,8,3,4,5,0,1,2
183,6,7,8,3,4,5,0,1,2
184,6,7,8,3,4,5,0,1,2
185,6,7,8,3,4,5,0,1,2
186,6,8,7,3,5,4,0,2,1
187,6,8,7,3,5,4,0,2,1
188,6,8,7,3,5,4,0,2,1
189,6,8,7,3,5,4,0,2,1
190,6,8,7,3,5,4,0,2,1
191,6,8,7,3,5,4,0,2,1
192,7,6,8,4,3,5,1,0,2
193,7,6,8,4,3,5,1,0,2
194,7,6,8,4,3,5,1,0,2
195,7,6,8,4,3,5,1,0,2
196,7,6,8,4,3,5,1,0,2
197,7,6,8,4,3,5,1,0,2
198,7,8,6,4,5,3,1,2,0
199,7,8,6,4,5,3,1,2,0
200,7,8,6,4,5,3,1,2,0
201,7,8,6,4,5,3,1,2,0
202,7,8,6,4,5,3,1,2,0
203,7,8,6,4,5,3,1,2,0
204,8,6,7,5,3,4,2,0,1
205,8,6,7,5,3,4,2,0,1
206,8,6,7,5,3,4,2,0,1
207,8,6,7,5,3,4,2,0,1
208,8,6,7,5,3,4,2,0,1
209,8,6,7,5,3,4,2,0,1
210,8,7,6,5,4,3,2,1,0
211,8,7,6,5,4,3,2,1,0
212,8,7,6,5,4,3,2,1,0
213,8,7,6,5,4,3,2,1,0
214,8,7,6,5,4,3,2,1,0
215,8,7,6,5,4,3,2,1,0
